subid,proba,pred
BSLERP_277066-20160920_2_T1w,0.51,1.0
20190115-ST001-MNBCP458050-v02-1-10mo_MR-SE002-T1w,0.46,0.0
20180111-ST001-MNBCP477045-v01-1-10mo_MR-SE002-T1w,0.46,0.0
BSLERP_995663-20150721_2_T1w,0.44,0.0
20180130-ST001-MNBCP439083-v01-1-1mo_MR-SE002-T1w,0.54,1.0
20170818-ST001-Elison_BSLERP_544404_03_01_MR-SE002-T1w,0.62,1.0
20180419-ST001-MNBCP372377-v02-1-5mo_MR-SE002-T1w,0.49,0.0
BCP-388560-2mo-v1_10_T1w_Defaced,0.37,0.0
MNBCP943541-v01-1-4mo-20181202_3_T1w,0.32,0.0
NCBCP364820-v01-1-69mo_8_T1w,0.6,1.0
20150220-ST001-Elison_BSLERP_716498_2_1_MR-SE003-T1w,0.68,1.0
BSLERP_805063-20161024_2_T1w_Defaced,0.45,0.0
20150220-ST001-Elison_BSLERP_716498_2_1_MR-SE009-T1w,0.38,0.0
20170116-ST001-Elison_BSLERP_805063_02_01_MR-SE003-T1w,0.56,1.0
20190222-ST001-MNBCP759162-v01-1-17mo_MR-SE002-T1w,0.46,0.0
20180810-ST001-MNBCP261266-v01-1-17mo_MR-SE002-T1w,0.48,0.0
20180528-ST001-MNBCP637299-v02-1-14mo_MR-SE003-T1w,0.46,0.0
20170117-ST001-Elison_BSLERP_683099_01_01_MR-SE014-T1w,0.46,0.0
NCBCP820360-v01-1-56mo-20170202_18_T1w,0.69,1.0
20171029-ST001-MNBCP519250-v01-1-16mo_MR-SE002-T1w,0.45,0.0
20161220-ST001-Elison_BSLERP_116056_01_01_MR-SE002-T1w_Defaced,0.52,1.0
NCBCP011228-v04-1-18mo-20180910_3_T1w,0.37,0.0
BCP-404835-52mo-v1_17_T1w,0.88,1.0
NCBCP266394-v02-1-21mo_3_T1w,0.43,0.0
NCBCP494244-v02-1-26mo_2_T1w,0.47,0.0
20160408-ST001-Elison_BSLERP_222881_4_1_MR-SE002-T1w_Defaced,0.4,0.0
20170410-ST001-Elison_BSLERP_469900_01_01_MR-SE005-T1w,0.51,1.0
20150420-ST001-Elison_BSLERP_387247_2_1_MR-SE002-T1w,0.5,0.0
20180130-ST001-MNBCP439083-v01-1-1mo_MR-SE003-T1w,0.45,0.0
MNBCP927564-v06-1-24mo-20170711_3_T1w,0.4,0.0
NCBCP505525-v03-1-8mo_3_T1w,0.4,0.0
BSLERP_277762-20150902_2_T1w,0.53,1.0
20180927-ST001-MNBCP458050-v01-1-6mo_MR-SE002-T1w,0.47,0.0
927564-BSLERP-20160201_2_T1w,0.49,0.0
20161121-ST001-Elison_BSLERP_932286_04_02_MR-SE002-T1w,0.91,1.0
20170503-ST001-Elison_BSLERP_940808_02_MR-SE002-T1w,0.48,0.0
NCBCP774004-v02-1-24mo_2_T1w,0.41,0.0
NCBCP340476-v01-1-10mo_2_T1w,0.47,0.0
20190427-ST001-MNBCP649494-v01-1-3mo_MR-SE003-T1w,0.4,0.0
NCBCP244734-v01-1-2wk_2_T1w,0.4,0.0
20171122-ST001-MNBCP107842_v01-1-19mo_MR-SE003-T1w,0.42,0.0
BSLERP_455675-20161011_3_T1w_Defaced,0.46,0.0
NCBCP575848-v01-1-37mo-20171011_9_T1w,0.96,1.0
20180619-ST001-MNBCP710922-v01-01-1mo_MR-SE004-T1w,0.5,0.0
BCP-968715-37mo-v1_14_T1w,0.92,1.0
20180811-ST001-MNBCP938316-v03-1-8mo_MR-SE002-T1w,0.98,1.0
760812-BSLERP-20151208_3_T1w,0.44,0.0
BCP-017541-10mo-v1_13_T1w,0.8,1.0
20150604-ST001-Elison_BSLERP_951984_02_02_MR-SE002-T1w_Defaced,0.46,0.0
BCP-418009-53mo-v1_8_T1w,0.43,0.0
NCBCP145776-v01-1-42mo_3_T1w,0.9,1.0
NCBCP841279-v02-1-23mo_3_T1w,0.46,0.0
BCP-388560-2mo-v1_9_T1w_Defaced,0.49,0.0
20151022-ST001-Elison_BSLERP_320544_01_01_MR-SE003-T1w_Defaced,0.5,0.0
BCP-397725-60mo-v1_17_T1w,0.53,1.0
MNBCP945323-v01-2-18mo-20181128_2_T1w,0.44,0.0
20191217-ST001-MNBCP992672-v01-2-34mo_MR-SE003-T1w,0.66,1.0
20151118-ST001-Elison_BSLERP_850013_02_01_MR-SE003-T1w,0.39,0.0
20160503-ST001-Elison_BSLERP_995663_04_01_MR-SE002-T1w,0.48,0.0
NCBCP456907-v05-1-15mo_3_T1w,0.39,0.0
NCBCP149292-v01-1-47mo_17_T1w,0.95,1.0
20180711-ST001-MNBCP706050-v01-1-20mo_MR-SE003-T1w,0.46,0.0
20170919-ST001-MNBCP675362-v01-2-18mo_MR-SE002-T1w,0.41,0.0
20170622-ST001-Elison_BSLERP_320544_06_01_MR-SE004-T1w,0.48,0.0
NCBCP132476-v04-1-15mo_2_T1w,0.5,0.0
20170608-ST001-Elison_BSLERP_115072_01_01_MR-SE002-T1w,0.45,0.0
BCP-106436-2wk-v1_7_T1w_Defaced,0.46,0.0
20150824-ST001-Elison_BSLERP_222881_02_01_MR-SE003-T1w,0.5,0.0
BCP-017541-10mo-v1_12_T1w,0.77,1.0
20170116-ST001-Elison_BSLERP_805063_02_01_MR-SE002-T1w,0.61,1.0
NCBCP945369-v02-2-3mo_3_T1w,0.42,0.0
BCP-439967-42mo-v1_14_T1w,0.97,1.0
20150310-ST001-Elison_BSLERP_987008_1_1_MR-SE003-T1w,0.9,1.0
BSLERP_810675-20150812_3_T1w,0.72,1.0
BCP-968242-64mo-v1_8_T1w,0.47,0.0
20200115-ST001-MNBCP307076-v04-2-38mo_MR-SE002-T1w,0.84,1.0
MNBCP938316-v04-1-11mo-20181117_13_T1w,0.47,0.0
NCBCP149292-v01-1-47mo_2_T1w,0.86,1.0
NCBCP107008-v02-1-9mo-20170613_2_T1w,0.47,0.0
NCBCP536428-v02-1-3mo_2_T1w,0.47,0.0
MNBCP943541-v01-1-1mo-20180916_3_T1w,0.46,0.0
MNBCP945323-v01-2-18mo-20181128_3_T1w,0.38,0.0
NCBCP799931-v01-2-44mo_7_T1w,0.75,1.0
BCP-002081-2wk-v1_3_T1w,0.57,1.0
NCBCP518139-v05-1-21mo_2_T1w,0.51,1.0
20160216-ST001-Elison_BSLERP_277762_03_01_MR-SE002-T1w,0.49,0.0
20160609-ST001-ELISON_BSLERP_755330_04_01_MR-SE002-T1w,0.5,0.0
NCBCP713347-v05-1-14mo___20NOV2018-20181120_3_T1w,0.45,0.0
20191102-ST001-MNBCP648669-v03-2-15mo_MR-SE003-T1w,0.44,0.0
BSLERP_222881-20170127_3_T1w,0.46,0.0
20200115-ST001-MNBCP307076-v04-2-38mo_MR-SE003-T1w,0.89,1.0
NCBCP157075-v03-1-31mo_3_T1w,0.43,0.0
20180309-ST001-MNBCP661045-v02-1-24mo_MR-SE002-T1w,0.43,0.0
20170921-ST001-MNBCP401592-v02-2-9mo_MR-SE003-T1w,0.58,1.0
20170930-ST001-MNBCP198549-v02-1-4mo_MR-SE002-T1w,0.45,0.0
505926-BSLERP-20150810_2_T1w_Defaced,0.43,0.0
20191106-ST001-MNBCP779253-v02-1-13mo_MR-SE003-T1w,0.47,0.0
BSLERP_277762-20170207_6_T1w_Defaced,0.5,0.0
20170521-ST001-Elison_BSLERP_518969_06_01_MR-SE003-T1w_Defaced,0.44,0.0
20151005-ST001-Elison_BSLERP_890518_04_03_MR-SE003-T1w,0.53,1.0
20160517-ST001-Elison_BSLERP_320544_03_02_MR-SE008-T1w,0.42,0.0
NCBCP421109-v02-1-3mo_3_T1w,0.43,0.0
BSLERP_758451-20150603_3_T1w_Defaced,0.42,0.0
NCBCP537715-v01-1-49mo-20170215_12_T1w,0.48,0.0
BSLERP_243511-20151217_3_T1w,0.49,0.0
20180622-ST001-MNBCP684448-v04-1-11mo_MR-SE003-T1w,0.43,0.0
20170725-ST001-BCP726893_01_01_MR-SE003-T1w,0.36,0.0
20180408-ST001-MNBCP552990-v04-1-12mo_MR-SE003-T1w,0.49,0.0
NCBCP395568-v01-1-9mo-20170930_3_T1w,0.5,0.0
NCBCP605985-v02-1-3mo_3_T1w,0.58,1.0
NCBCP304436-v01-1-55mo-20181130_2_T1w,0.49,0.0
BSLERP_277762-20150902_3_T1w_Defaced,0.54,1.0
20180626-ST001-MNBCP107842-v02-2-25mo_MR-SE002-T1w,0.43,0.0
20190811-ST001-MNBCP240615-v03-1-28mo_MR-SE003-T1w,0.56,1.0
NCBCP456907-v03-1-9mo_3_T1w,0.42,0.0
BCP-804018-60mo-v1_10_T1w,0.49,0.0
NCBCP125105-v01-1-49mo_12_T1w,0.54,1.0
20180429-ST002-MNBCP601017-v02-1-26mo_MR-SE003-T1w,0.87,1.0
NCBCP791410-v01-1-55mo_12_T1w,0.67,1.0
20180530-ST001-MNBCP583494-v02-1-26mo_MR-SE003-T1w,0.44,0.0
20161107-ST001-Elison_BSLERP_932286_04_01_MR-SE007-T1w,0.53,1.0
NCBCP986700-v02-1-59mo_3_T1w,0.44,0.0
20170120-ST001-Elison_BSLERP_787525_01_01_MR-SE005-T1w,0.45,0.0
20171215-ST001-MNBCP125632-v06-1-24mo_MR-SE003-T1w,0.44,0.0
20191017-ST001-MNBCP764612-v03-1-28mo_MR-SE002-T1w,0.48,0.0
518969-BSLERP-20160127_2_T1w,0.45,0.0
MNBCP198202-v06-1-24mo-20181107_3_T1w,0.43,0.0
20190917-ST001-MNBCP799959-v02-1-13mo_MR-SE003-T1w,0.47,0.0
NCBCP518139-v02-1-12mo_2_T1w,0.43,0.0
NCBCP945890-v01-1-60mo_9_T1w,0.95,1.0
BSLERP_229768-20150730_2_T1w,0.53,1.0
20171004-ST001-MNBCP932286-v06-1-24mo_MR-SE003-T1w,0.41,0.0
MNBCP447077-v01-1-5mo-20151015_2_T1w,0.47,0.0
20161211-ST001-Elison_BSLERP_812574_01_01_MR-SE002-T1w,0.45,0.0
BCP-382287-2wk-v1_3_T1w,0.51,1.0
20160519-ST001-Elison_BSLERP_716498_06_01_MR-SE007-T1w,0.49,0.0
MNBCP943541-v01-1-1mo-20180916_2_T1w,0.5,0.0
NCBCP051407-v02-1-12mo_7_T1w,0.41,0.0
20180308-ST002-MNBCP830201-v01-1-19mo_MR-SE003-T1w,0.5,0.0
NCBCP537715-v02-1-61mo_13_T1w,0.91,1.0
NCBCP838881-v01-1-48mo_12_T1w,0.62,1.0
20170305-ST001-Elison_BSLERP_794626_06_01_MR-SE002-T1w_Defaced,0.53,1.0
20180701-ST001-MNBCP375518-v01-1-1mo_MR-SE002-T1w,0.69,1.0
NCBCP273929-v01-1-20mo_2_T1w,0.64,1.0
20190514-ST001-MNBCP583494-v03-1-38mo_MR-SE003-T1w,0.38,0.0
20170519-ST001-Elison_BSLERP_752770_02_01_MR-SE002-T1w,0.51,1.0
20150407-ST001-Elison_BSLERP_455675_1_1_MR-SE004-T1w_Defaced,0.38,0.0
BSLERP_801091-20160913_3_T1w,0.42,0.0
BCP-106436-2wk-v1_2_T1w_Defaced,0.53,1.0
20170216-ST001-Elison_BSLERP_826398_01_01_MR-SE003-T1w,0.56,1.0
NCBCP223244-v04-1-11mo-20181029_3_T1w,0.35,0.0
NCBCP145776-v01-1-42mo_7_T1w,0.88,1.0
MNBCP198202-v06-1-24mo-20181107_2_T1w,0.48,0.0
NCBCP537715-v02-1-61mo_8_T1w,0.83,1.0
NCBCP223244-v02-2-6mo_3_T1w,0.33,0.0
20171004-ST001-MNBCP932286-v06-1-24mo_MR-SE002-T1w,0.46,0.0
BSLERP_805063-20161024_3_T1w_Defaced,0.39,0.0
NCBCP536428-v02-1-3mo_3_T1w,0.41,0.0
20190916-ST001-MNBCP611881-v02-1-14mo_MR-SE002-T1w,0.49,0.0
20160105-ST001-Elison_BSLERP_116845_02_01_MR-SE003-T1w,0.47,0.0
20170614-ST001-Elison_BSLERP_401592_01_01_MR-SE003-T1w,0.46,0.0
BCP-431010-64mo-v1_13_T1w,0.88,1.0
20190709-ST001-MNBCP779253-v01-1-10mo_MR-SE003-T1w,0.39,0.0
514306-BSLERP-20160113_2_T1w,0.58,1.0
NCBCP788132-v02-1-5mo_3_T1w,0.73,1.0
BCP-969150-60mo-v1_15_T1w,0.4,0.0
20160818-ST001-Elison_BSLERP_951984_05_01_MR-SE003-T1w,0.47,0.0
20180118-ST001-MNBCP993015-v03-2-8mo_MR-SE003-T1w,0.45,0.0
NCBCP664313-v02-1-5mo_3_T1w,0.42,0.0
NCBCP557468-v02-1-60mo_6_T1w,0.93,1.0
20180514-ST001-MNBCP124529-v01-1-19mo_MR-SE003-T1w,0.48,0.0
NCBCP189896-v06-1-26mo_3_T1w,0.43,0.0
20190118-ST001-MNBCP706050-v02-2-26mo_MR-SE011-T1w,0.43,0.0
NCBCP509659-v02-1-13mo_3_T1w,0.38,0.0
20190723-ST001-MNBCP380056-v02-1-4mo_MR-SE002-T1w,0.55,1.0
20171016-ST001-MNBCP726893-v02-1-5mo_MR-SE002-T1w,0.45,0.0
20180929-ST001-MNBCP353374-v02-1-25mo_MR-SE003-T1w,0.39,0.0
20170423-ST001-Elison_BSLERP_824479_01_01_MR-SE002-T1w,0.46,0.0
BCP-197622-2wk-v1_7_T1w_Defaced,0.72,1.0
NCBCP779604-v05-1-12mo_2_T1w,0.71,1.0
BCP-421109-2wk-v1_3_T1w,0.42,0.0
20150708-ST001-Elison_BSLERP_890518_02_01_MR-SE002-T1w,0.5,0.0
20151028-ST001-Elison_BSLERP_534927_03_01_MR-SE004-T1w,0.72,1.0
20180607-ST001-MNBCP199865-v03-1-15mo_MR-SE003-T1w,0.43,0.0
20190912-ST001-MNBCP857459-v02-1-12mo_MR-SE002-T1w,0.53,1.0
20171220-ST001-MNBCP794032-v06-1-24mo_MR-SE002-T1w,0.46,0.0
NCBCP332726-v01-1-60mo_6_T1w,0.65,1.0
20181005-ST001-MNBCP706655-v03-1-15mo_MR-SE006-T1w,0.55,1.0
BSLERP_960370-20160629_3_T1w_Defaced,0.5,0.0
NCBCP838881-v01-1-48mo_9_T1w,0.93,1.0
20170117-ST001-Elison_BSLERP_683099_01_01_MR-SE003-T1w,0.59,1.0
BCP-106436-2wk-v1_6_T1w,0.53,1.0
BCP-017541-16mo-v3_2_T1w,0.36,0.0
BSLERP_455675-20161011_2_T1w,0.41,0.0
NCBCP820360-v01-1-56mo-20170202_17_T1w,0.7,1.0
BCP-862498-42mo-v1_15_T1w,0.52,1.0
20180718-ST001-MNBCP439083-v03-1-7mo_MR-SE002-T1w,0.5,0.0
NCBCP945369-v03-1-6mo_2_T1w,0.37,0.0
BSLERP_223008-20150210_3_T1w_Defaced,0.71,1.0
20170123-ST001-Elison_BSLERP_960370_04_02_MR-SE003-T1w,0.42,0.0
794032-BSLERP-20160406_3_T1w,0.41,0.0
BCP-758603-13mo-v2_2_T1w,0.54,1.0
20150629-ST001-Elison_BSLERP_794626_01_01_MR-SE003-T1w,0.38,0.0
20171027-ST001-MNBCP176851-v01-1-20mo_MR-SE003-T1w,0.43,0.0
20180713-ST001-MNBCP380510-v01-1-19mo_MR-SE003-T1w,0.46,0.0
20160418-ST001-Elison_BSLERP_514306_02_01_MR-SE002-T1w_Defaced,0.48,0.0
NCBCP575848-v01-1-37mo-20171011_14_T1w,0.95,1.0
20170108-ST001-Elison_BSLERP_755330_03_01_MR-SE004-T1w,0.77,1.0
NCBCP149292-v01-1-47mo_16_T1w,0.96,1.0
BCP-266394-15mo-v1_3_T1w,0.49,0.0
20170906-ST001-MNBCP684448-v01-1-2mo_MR-SE002-T1w,0.41,0.0
BCP-107008-6mo-v1-retry_13_T1w,0.47,0.0
20170925-ST001-MNBCP978698-v03-1-12mo_MR-SE002-T1w,0.61,1.0
BCP-969150-60mo-v1_16_T1w,0.43,0.0
NCBCP713347-v05-1-14mo___20NOV2018-20181120_2_T1w,0.46,0.0
20190825-ST001-MNBCP232633-v04-2-36mo_MR-SE007-T1w,0.6,1.0
NCBCP125105-v01-1-49mo_8_T1w,0.56,1.0
BCP-758603-13mo-v2_3_T1w,0.57,1.0
20191112-ST001-MNBCP994816-v02-1-14mo_MR-SE003-T1w,0.49,0.0
NCBCP505525-v06-1-17mo_3_T1w,0.83,1.0
BSLERP_243511-20150415_17_T1w,0.44,0.0
20200118-ST001-MNBCP292029-v04-2-38mo_MR-SE002-T1w,0.4,0.0
NCBCP332726-v01-1-60mo_7_T1w,0.65,1.0
MNBCP939785-v06-1-24mo-20181105_35_T1w,0.48,0.0
20170222-ST001-Elison_BSLERP_229768_06_01_MR-SE003-T1w,0.54,1.0
20170208-ST001-Elison_BSLERP_544404_01_01_MR-SE002-T1w,0.49,0.0
BCP-675674-11mo-v1_2_T1w,0.67,1.0
20170216-ST001-Elison_BSLERP_826398_01_01_MR-SE006-T1w,0.57,1.0
20190417-ST001-MNBCP629130-v06-1-26mo_MR-SE014-T1w,0.42,0.0
MNBCP536876-v01-1-16mo-20181119_2_T1w,0.59,1.0
NCBCP132476-v03-1-12mo_2_T1w,0.45,0.0
20150220-ST001-Elison_BSLERP_716498_2_1_MR-SE002-T1w,0.61,1.0
NCBCP161437-v01-1-11mo_3_T1w,0.54,1.0
BCP354307-2wk-v1_2_T1w,0.75,1.0
20200110-ST001-MNBCP102606-v03-1-16mo_MR-SE006-T1w,0.4,0.0
20171116-ST001-MNBCP584381-v02-1-4mo_MR-SE003-T1w,0.41,0.0
NCBCP051407-v02-1-12mo_6_T1w,0.45,0.0
BSLERP_801091-20160913_2_T1w,0.45,0.0
20170423-ST001-Elison_BSLERP_824479_01_01_MR-SE002-T1w_Defaced,0.45,0.0
20151026-ST001-Elison_BSLERP_243511_03_02_MR-SE003-T1w,0.56,1.0
20141114-ST001-Elison_BSLERP_716498_1_2_MR-SE002-T1w,0.54,1.0
20150831-ST001-Elison_BSLERP_888211_02_02_MR-SE002-T1w,0.43,0.0
20151118-ST001-Elison_BSLERP_850013_02_01_MR-SE002-T1w,0.44,0.0
NCBCP397725-v02-1-72mo_13_T1w,0.45,0.0
BSLERP_231205-20161209_3_T1w,0.59,1.0
NCBCP200474-v04-1-18mo_3_T1w,0.46,0.0
NCBCP732627-v01-1-2mo_3_T1w,0.58,1.0
MNBCP927564-v06-1-24mo-20170711_2_T1w,0.47,0.0
20150604-ST001-Elison_BSLERP_951984_02_02_MR-SE002-T1w,0.47,0.0
20160509-ST001-Elison_BSLERP_505926_04_01_MR-SE002-T1w,0.44,0.0
20170326-ST001-Elison_BSLERP_597306_04_01_MR-SE003-T1w,0.52,1.0
NCBCP111521-v01-2-17mo-20170119_18_T1w,0.45,0.0
NCBCP664313-v01-1-2mo_6_T1w,0.49,0.0
20170119-ST001-Elison_BSLERP_859613_03_04_01_MR-SE002-T1w,0.48,0.0
BCP-040221-42mo-v1_9_T1w,0.56,1.0
20160328-ST002-Elison_BSLERP_505499_03_01_MR-SE006-T1w,0.98,1.0
MNBCP939785-v06-1-24mo-20181105_3_T1w,0.47,0.0
20180805-ST001-MNBCP947206-v02-1-2mo_MR-SE003-T1w,0.4,0.0
NCBCP011228-v01-1-9mo_7_T1w,0.49,0.0
NCBCP537715-v02-1-61mo_12_T1w,0.93,1.0
20180909-ST001-MNBCP981664-v05-1-14mo_MR-SE003-T1w,0.53,1.0
20150605-ST001-Elison_BSLERP_662338_2_2_MR-SE002-T1w,0.88,1.0
NCBCP505525-v04-1-11mo-20181101_2_T1w,0.38,0.0
20170106-ST001-Elison_BSLERP_125632_04_01_MR-SE005-T1w,0.45,0.0
NCBCP509659-v02-1-13mo_2_T1w,0.47,0.0
20190815-ST001-MNBCP907184-v03-1-28mo_MR-SE003-T1w,0.4,0.0
20180626-ST001-MNBCP107842-v02-2-25mo_MR-SE003-T1w,0.37,0.0
20170327-ST001-Elison_BSLERP_277066_03_01_MR-SE002-T1w,0.48,0.0
NCBCP713347-v05-1-14mo-20181120_2_T1w,0.48,0.0
NCBCP418793-v05-1-21mo_3_T1w,0.43,0.0
20171006-ST001-MNBCP552990-v02-1-5mo_MR-SE002-T1w,0.47,0.0
BCP-841279-16mo-v1_2_T1w,0.48,0.0
20180429-ST002-MNBCP601017-v02-1-26mo_MR-SE007-T1w,0.8,1.0
NCBCP908754-v02-1-3mo_2_T1w,0.9,1.0
NCBCP223244-v01-1-2mo_3_T1w,0.4,0.0
20181027-ST001-MNBCP682023-v02-1-4mo_MR-SE003-T1w,0.44,0.0
20170417-ST001-Elison_BSLERP_704148_01_02_MR-SE004-T1w,0.46,0.0
NCBCP189896-v03-1-17mo_4_T1w,0.41,0.0
20190427-ST001-MNBCP649494-v01-1-3mo_MR-SE004-T1w,0.44,0.0
20170610-ST001-Elison_BSLERP_176427_04_02_MR-SE002-T1w,0.44,0.0
NCBCP148796-v01-1-17mo_4_T1w,0.39,0.0
NCBCP340476-v03-1-16mo_3_T1w,0.46,0.0
20170108-ST001-Elison_BSLERP_755330_03_01_MR-SE014-T1w,0.51,1.0
NCBCP200474-v02-1-12mo_3_T1w,0.49,0.0
20190712-ST001-MNBCP706655-v06-1-24mo_MR-SE003-T1w,0.47,0.0
20171218-ST001-MNBCP978698-v04-1-14mo_MR-SE003-T1w,0.79,1.0
20160303-ST002-ELISON_BSLERP_761247_01_01_MR-SE003-T1w,0.68,1.0
20160517-ST001-Elison_BSLERP_320544_03_02_MR-SE004-T1w,0.87,1.0
20170320-ST001-Elison_BSLERP_505926_06_01_MR-SE002-T1w,0.5,0.0
794626-BSLERP-20160106_7_T1w_Defaced,0.46,0.0
932286-BSLERP-20160226_17_T1w_Defaced,0.44,0.0
20150714-ST001-Elison_BSLERP_138813_01_01_MR-SE003-T1w,0.4,0.0
NCBCP529587-v01-1-37mo_6_T1w,0.78,1.0
NCBCP412584-v01-1-10mo_3_T1w,0.52,1.0
NCBCP657965-v01-1-10mo-20181030_3_T1w,0.51,1.0
BSLERP_231205-20160718_2_T1w,0.54,1.0
20171018-ST001-MNBCP826360-v01-2-17mo_MR-SE005-T1w,0.43,0.0
BCP-758603-13mo-v2_6_T1w,0.52,1.0
20190112-ST001-MNBCP706050-v02-1-26mo_MR-SE002-T1w,0.5,0.0
NCBCP052977-v02-2-14mo_3_T1w,0.42,0.0
20170602-ST001-Elison_BSLERP_284149_01_01_MR-SE002-T1w_Defaced,0.5,0.0
20170419-ST001-Elison_BSLERP_805063_03_01_MR-SE004-T1w,0.42,0.0
NCBCP470794-v01-1-42mo_18_T1w,0.96,1.0
NCBCP788132-v01-1-2mo_3_T1w,0.74,1.0
MNBCP116056-v05-1-24mo-20180921_2_T1w,0.51,1.0
20161211-ST001-Elison_BSLERP_812574_01_01_MR-SE003-T1w,0.4,0.0
BCP-866106-48mo-v1_13_T1w,0.47,0.0
20160811-ST001-Elison_BSLERP_176427_01_01_MR-SE005-T1w,0.41,0.0
20160418-ST001-Elison_BSLERP_514306_02_01_MR-SE003-T1w,0.48,0.0
MNBCP277066-v04-1-13mo-20170710_2_T1w,0.54,1.0
NCBCP418793-v01-1-9mo_7_T1w,0.49,0.0
20160331-ST001-ELISON_BSLERP_116845_3_1_MR-SE002-T1w,0.42,0.0
BSLERP_223008-20160922_3_T1w,0.52,1.0
BCP-648807-27mo-v3_2_T1w,0.46,0.0
859613-BSLERP-20170119_7_T1w,0.5,0.0
BSLERP_277066-20170110_2_T1w_Defaced,0.49,0.0
NCBCP960758-v01-1-2mo_3_T1w,0.44,0.0
MNBCP469090-v04-1-18mo-20181110_2_T1w,0.47,0.0
NCBCP421109-v04-1-9mo_7_T1w,0.35,0.0
760812-BSLERP-20160308_3_T1w,0.49,0.0
NCBCP832130-v01-1-55mo_9_T1w,0.97,1.0
20151105-ST001-Elison_BSLERP_334324_03_01_MR-SE002-T1w,0.48,0.0
BCP-804018-60mo-v1_11_T1w,0.5,0.0
NCBCP986700-v02-1-59mo_6_T1w,0.96,1.0
20170518-ST001-Elison_BSLERP_470431_03_01_MR-SE003-T1w_Defaced,0.44,0.0
BCP-417855-15mo-v1_3_T1w,0.4,0.0
MNBCP277066-v01-1-4mo-20160916_3_T1w,0.98,1.0
NCBCP412584-v01-1-10mo_2_T1w,0.57,1.0
20181029-ST001-MNBCP439999-v04-2-20mo_MR-SE010-T1w,0.58,1.0
20180423-ST001-MNBCP726893-v04-1-11mo_MR-SE002-T1w,0.44,0.0
20150422-ST001-Elison_BSLERP_810675_1_1_MR-SE006-T1w,0.42,0.0
20180806-ST001-MNBCP933910-v03-1-18mo_MR-SE003-T1w,0.43,0.0
20170925-ST001-MNBCP978698-v03-1-12mo_MR-SE003-T1w,0.61,1.0
20170325-ST001-Elison_BSLERP_376673_03_01_MR-SE002-T1w,0.5,0.0
NCBCP146505-v01-1-15mo_2_T1w,0.51,1.0
BSLERP_662338-20150312_3_T1w_Defaced,0.42,0.0
20170420-ST001-Elison_BSLERP_878949_01_01_MR-SE002-T1w,0.74,1.0
20191203-ST001-MNBCP992672-v01-1-34mo_MR-SE003-T1w,0.63,1.0
20170120-ST001-Elison_BSLERP_787525_01_01_MR-SE004-T1w_Defaced,0.55,1.0
NCBCP146505-v02-1-21mo-20181119_2_T1w,0.42,0.0
20180328-ST001-MNBCP705639-v01-1-9mo_MR-SE002-T1w,0.44,0.0
BCP-969150-60mo-v1_20_T1w,0.57,1.0
20170913-ST001-MNBCP266437-v01-1-18mo_MR-SE003-T1w,0.45,0.0
20160303-ST002-ELISON_BSLERP_761247_01_01_MR-SE007-T1w_Defaced,0.81,1.0
20171026-ST001-MNBCP939785-v04-1-12mo_MR-SE003-T1w,0.39,0.0
20171113-ST001-MNBCP933910-v01-1-9mo_MR-SE003-T1w,0.44,0.0
BCP-431010-64mo-v1_9_T1w,0.9,1.0
NCBCP791621-v01-2-55mo-20181203_2_T1w,0.42,0.0
20180311-ST001-MNBCP627391-v02-1-5mo_MR-SE002-T1w,0.39,0.0
NCBCP530066-v05-1-22mo_3_T1w,0.36,0.0
NCBCP657965-v04-1-20mo_3_T1w,0.48,0.0
NCBCP200474-v05-1-21mo-20181103_2_T1w,0.46,0.0
NCBCP505525-v05-1-14mo_2_T1w,0.46,0.0
20150714-ST001-Elison_BSLERP_138813_01_01_MR-SE002-T1w,0.4,0.0
20160328-ST002-Elison_BSLERP_505499_03_01_MR-SE014-T1w,0.94,1.0
NCBCP774387-v01-1-16mo_3_T1w,0.35,0.0
NCBCP575848-v01-1-37mo-20171011_8_T1w,0.97,1.0
20160818-ST001-Elison_BSLERP_951984_05_01_MR-SE003-T1w_Defaced,0.48,0.0
NCBCP314462-v01-1-9mo_4_T1w,0.69,1.0
BCP-355327-67mo-v1_17_T1w,0.85,1.0
20170106-ST001-Elison_BSLERP_125632_04_01_MR-SE004-T1w,0.43,0.0
BSLERP_805063-20161024_2_T1w,0.5,0.0
MNBCP995663-v03-1-11mo-20160211_2_T1w,0.94,1.0
995663-BSLERP-20160223_3_T1w,0.39,0.0
20170325-ST001-Elison_BSLERP_376673_03_01_MR-SE003-T1w,0.41,0.0
20180623-ST001-MNBCP866461-v01-1-18mo_MR-SE003-T1w,0.46,0.0
BSLERP_850013-20150811_4_T1w_Defaced,0.61,1.0
NCBCP283899-v02-1-24mo_3_T1w,0.5,0.0
20180421-ST001-MNBCP198549-v04-1-10mo_MR-SE002-T1w,0.46,0.0
20160509-ST001-Elison_BSLERP_505926_04_01_MR-SE003-T1w,0.48,0.0
NCBCP788132-v02-1-5mo_6_T1w,0.44,0.0
20170531-ST001-Elison_BSLERP_851956_01_01_MR-SE002-T1w,0.49,0.0
20170106-ST001-Elison_BSLERP_125632_04_01_MR-SE003-T1w,0.46,0.0
NCBCP713347-v02-1-5mo_2_T1w,0.4,0.0
20160610-ST001-Elison_BSLERP_125632_02_01_MR-SE003-T1w,0.42,0.0
